




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1372)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
tRNA 3'-end processing (GO:0042780)	3	3	.30	+	10.07	9.76E-04	4.29E-02
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	3	3	.30	+	10.07	9.76E-04	4.26E-02
protein methylation (GO:0006479)	3	3	.30	+	10.07	9.76E-04	4.24E-02
protein alkylation (GO:0008213)	3	3	.30	+	10.07	9.76E-04	4.21E-02
premeiotic DNA replication (GO:0006279)	7	6	.69	+	8.63	6.07E-06	5.95E-04
mRNA export from nucleus in response to heat stress (GO:0031990)	5	4	.50	+	8.06	4.45E-04	2.37E-02
mitochondrial RNA 3'-end processing (GO:0000965)	7	5	.69	+	7.20	1.69E-04	1.07E-02
mitochondrial small ribosomal subunit assembly (GO:0180026)	7	5	.69	+	7.20	1.69E-04	1.06E-02
respiratory chain complex III assembly (GO:0017062)	9	6	.89	+	6.72	6.11E-05	4.47E-03
tetrahydrobiopterin biosynthetic process (GO:0006729)	6	4	.60	+	6.72	1.23E-03	5.10E-02
positive regulation of cell cycle G1/S phase transition (GO:1902808)	6	4	.60	+	6.72	1.23E-03	5.07E-02
mitochondrial respiratory chain complex III assembly (GO:0034551)	9	6	.89	+	6.72	6.11E-05	4.43E-03
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	6	4	.60	+	6.72	1.23E-03	5.04E-02
tetrahydrobiopterin metabolic process (GO:0046146)	6	4	.60	+	6.72	1.23E-03	5.01E-02
tRNA aminoacylation for mitochondrial protein translation (GO:0070127)	6	4	.60	+	6.72	1.23E-03	4.98E-02
tRNA transcription by RNA polymerase III (GO:0042797)	13	8	1.29	+	6.20	7.54E-06	7.19E-04
tRNA transcription (GO:0009304)	13	8	1.29	+	6.20	7.54E-06	7.10E-04
mitochondrial translation (GO:0032543)	101	59	10.03	+	5.88	1.59E-33	8.89E-31
transcription by RNA polymerase I (GO:0006360)	19	11	1.89	+	5.83	3.16E-07	4.49E-05
mitochondrial ribosome assembly (GO:0061668)	16	9	1.59	+	5.67	5.46E-06	5.43E-04
mitochondrial large ribosomal subunit assembly (GO:1902775)	9	5	.89	+	5.60	8.56E-04	3.96E-02
RNA polymerase II promoter clearance (GO:0001111)	9	5	.89	+	5.60	8.56E-04	3.93E-02
promoter clearance during DNA-templated transcription (GO:0001109)	9	5	.89	+	5.60	8.56E-04	3.91E-02
mitochondrial gene expression (GO:0140053)	132	72	13.10	+	5.49	6.52E-38	3.94E-35
tRNA wobble base modification (GO:0002097)	23	12	2.28	+	5.26	4.17E-07	5.60E-05
ectopic germ cell programmed cell death (GO:0035234)	12	6	1.19	+	5.04	5.16E-04	2.65E-02
